ID,Nom,Prénom,Âge,Sexe,Email,Pays,Ville,Salaire (€),Date d'embauche,Département,Télétravail (%),Performance (Note)
1,Richard,Stacey,62,Homme,lgonzalez@crawford.org,Trinidad and Tobago,New Devinview,54564.0,2023-09-30,Finance,0.0,2.0
2,Chang,Loretta,65,Homme,rebeccabrown@hotmail.com,Netherlands,Lake Rebecca,23393.0,2023-10-14,Informatique,0.0,2.0
3,Fisher,Kimberly,18,Homme,waynebarnes@schultz-sims.org,Oman,Alexanderfort,62711.0,2017-08-24,Finance,60.0,1.0
4,Green,Julie,21,Homme,morgandevon@burgess.com,Moldova,Alexanderville,52274.0,2022-06-09,RH,100.0,1.0
5,Dixon,Jacob,21,Homme,elliskaren@gmail.com,Dominican Republic,East Darren,108305.0,2018-08-02,Informatique,0.0,3.0
6,Sullivan,Ana,57,Femme,afranklin@hotmail.com,Iceland,South Benjamin,33920.0,2019-05-26,RH,20.0,4.0
7,Bowers,Rodney,27,Femme,rmiranda@hess.com,Congo,Dawsonland,98086.0,2016-09-28,RH,20.0,4.0
8,Turner,Stephanie,37,Homme,uphillips@cohen.com,Palau,West Tiffany,25213.0,2024-06-07,Logistique,,4.0
9,Woods,Glenn,39,Homme,reidwilliam@hotmail.com,Slovakia (Slovak Republic),New Jessica,51914.0,2025-03-06,Production,40.0,1.0
10,Silva,Geoffrey,68,Homme,williamsalexis@beasley.biz,Hungary,Lake Rebecca,119041.0,2024-12-27,Finance,80.0,5.0
11,Odonnell,Donna,54,Homme,edwardslori@gmail.com,Vietnam,New Ryanbury,80998.0,2017-07-30,Logistique,20.0,3.0
12,Wagner,Eric,41,Femme,brandongutierrez@gmail.com,Bhutan,Arielville,46903.0,2023-04-13,Marketing,40.0,3.0
13,Campbell,Daniel,24,Femme,uanderson@phillips.net,Christmas Island,Byrdfort,40014.0,2023-11-06,Production,80.0,4.0
14,Campos,William,42,Homme,jjohns@pugh.com,Tokelau,Christinaton,33708.0,2019-10-29,Production,80.0,1.0
15,Montgomery,Laura,42,Homme,qroberts@powell.com,Equatorial Guinea,East Williamside,35729.0,2016-10-15,Finance,20.0,2.0
20,Barrera,Roy,41,Homme,eddie12@gmail.com,Moldova,Lake Tammyland,74227.0,2023-09-09,Finance,80.0,5.0
21,Collins,Vicki,64,Homme,hnewman@jones.info,Togo,Joview,44613.0,2019-05-08,Marketing,80.0,4.0
22,Blair,Jennifer,42,Femme,julie97@hotmail.com,Burkina Faso,Duncanfort,36583.0,2018-05-18,Logistique,100.0,1.0
23,Nolan,Sophia,35,Femme,kimberlyjohnson@yahoo.com,Montserrat,Douglasville,34371.0,2024-12-19,Production,100.0,3.0
24,Sutton,Amanda,55,Homme,laura03@hotmail.com,Saint Pierre and Miquelon,East Angela,20170.0,2021-08-05,Logistique,100.0,3.0
25,Kennedy,Angela,43,Femme,brodriguez@sanchez.com,Tonga,East Linda,69282.0,2024-02-13,Informatique,100.0,2.0
26,Garcia,Veronica,31,Homme,dunlaphector@yahoo.com,Korea,Douglasport,55990.0,2016-02-07,Logistique,,2.0
27,Hamilton,James,26,Homme,aavila@gmail.com,Isle of Man,East Marthaburgh,100009.0,2019-03-23,Marketing,20.0,4.0
